id;name;age;character
1;boum membre titulaire après-demain;31011;jaillir à l'encontre de après que
2;propre vérifier redouter;31544;guère convertir
3;redresser svelte voter;1969;de manière à ce que plus
4;avare;30647;refuser
5;jeune enfant adversaire présidence;15428;d'après
6;à bas de fort près;24949;patientèle
7;exprès au-dehors;5371;drelin
8;jusqu’à ce que athlète pacifique;10128;corps enseignant psitt
9;au-dessous mature impromptu;24706;diplomate au prix de moins
10;pourvu que à l'insu de;27218;émérite selon circulaire
