id;name;color;peremption_date
1;juriste;lavallière;2023-11-08T17:00:23
2;par suite de au défaut de foule;citrouille;2023-11-09T08:26:33
3;emmener dès que;bleu bleuet;2023-11-09T07:48:15
4;suffisamment à l'instar de presque;avocat;2023-11-08T11:49:56
5;au-dessus de parfois aigre;indigo;2023-11-08T23:32:17
6;triangulaire impressionner svelte;corail;2023-11-08T15:50:47
7;grrr coin-coin;rouille;2023-11-08T21:54:51
8;deçà placide rudement;sarcelle;2023-11-08T12:12:45
9;dorénavant;glauque;2023-11-09T02:59:30
10;hors de vu que durant;jaune mimosa;2023-11-08T15:18:32
