id;categorie;location;ground
1;coac coac;probablement référer tellement;en bas de
2;vlan tellement tranquille;quand ? encore;dans oups
3;apaiser pour que vlan;vétuste;distraire
4;âcre;précisément;souple blablabla
5;d’autant que antagoniste plic;préserver glouglou;ensemble au-dessus encore
6;tchou tchouu euh;si;de
7;dans la mesure où téméraire;hormis;personnel à même adhérer
8;tic-tac assez;lâche;à raison de tellement près de
9;électorat gestionnaire;appliquer bon;soit de sorte que
10;épargner;arrière joliment;sage
